201,2,0,1,0,0,1,0,11.3,0,0,74.5,25.5,5.4,1,2022
201,1,0,0,0,0,1,0,0,0,0,99.7,20,8.7,2,2022
201,5,0,0,0,1,0,0,0,0,69.4,0,24.6,8.1,3,2022
201,1,1,1,0,1,0,74.1,23.9,0,57.6,0,26.9,8,4,2022
201,4,0,0,0,0,1,0,0,0,0,28.9,27,7.7,5,2022
201,5,1,0,0,0,1,46.2,0,0,0,63.5,25.8,5.8,6,2022
201,1,1,1,1,0,0,7.5,12.1,29.2,0,0,23.7,6.1,7,2022
201,5,0,1,1,1,1,0,23.9,52.4,47.4,12.7,25.5,5,8,2022
201,1,0,1,1,0,1,0,25.2,48.8,0,31.2,29.3,8.3,9,2022
201,5,0,1,1,1,1,0,52.4,44.4,70.3,29.6,23.8,7.2,10,2022
201,3,1,1,0,0,1,21.9,10,0,0,27.9,28,6.3,11,2022
201,5,0,1,1,0,1,0,96.6,76.2,0,26.7,21,8,12,2022
201,2,1,1,1,1,1,13.2,86.1,40.9,18.7,68.9,27.6,5.3,1,2023
201,3,0,0,0,0,1,0,0,0,0,32.7,20.5,8.7,2,2023
201,4,0,0,0,1,0,0,0,0,5.6,0,27.2,6.8,3,2023
201,3,0,0,0,1,0,0,0,0,40.3,0,28.4,9.7,4,2023
201,3,0,0,0,0,1,0,0,0,0,86.6,25.7,6.3,5,2023
201,1,1,0,1,0,0,73.4,0,64.7,0,0,27.5,9,6,2023
201,1,0,1,1,1,0,0,6.3,32.1,95.3,0,28.4,8.1,7,2023
201,2,0,0,0,0,0,0,0,0,0,0,28,6.8,8,2023
201,2,0,1,0,0,1,0,85.6,0,0,54,21,5.6,9,2023
201,5,1,1,0,0,0,13.5,61.1,0,0,0,23.1,9.6,10,2023
201,4,1,1,0,0,1,34.4,20.2,0,0,24.1,24.4,6.5,11,2023
201,2,0,0,0,0,1,0,0,0,0,46.4,28.2,7.6,12,2023
202,3,0,0,0,1,0,0,0,0,85.3,0,26.9,6.3,1,2022
202,5,0,0,0,1,1,0,0,0,88.9,4,28,5.2,2,2022
202,2,0,0,1,1,1,0,0,40.9,62.4,71.1,25.5,7.9,3,2022
202,3,1,1,1,0,1,71.1,39.1,21.1,0,4.1,21.5,6.8,4,2022
202,2,1,0,1,0,1,57.3,0,35.5,0,67.7,29.8,9.6,5,2022
202,5,0,1,0,1,1,0,11.3,0,55,77,27.6,9,6,2022
