Timekten,Aoulef,Adrar,1
Bouda,Adrar,Adrar,1
Ouled Ahmed Timmi,Adrar,Adrar,1
Adrar,Adrar,Adrar,1
Fenoughil,Fenoughil,Adrar,1
In Zghmir,Zaouiat Kounta,Adrar,1
Reggane,Reggane,Adrar,1
Sali,Reggane,Adrar,1
Sebaa,Tsabit,Adrar,1
Tsabit,Tsabit,Adrar,1
Tamest,Fenoughil,Adrar,1
Tamantit,Fenoughil,Adrar,1
Tit,Aoulef,Adrar,1
Zaouiet Kounta,Zaouiat Kounta,Adrar,1
Akabli,Aoulef,Adrar,1
Aoulef,Aoulef,Adrar,1
Talassa,Abou El Hassane,Chlef,2
Zeboudja,Zeboudja,Chlef,2
El Hadjadj,Ouled Ben Abdelkader,Chlef,2
Ouled Ben Abdelkader,Ouled Ben Abdelkader,Chlef,2
Ain Merane,Ain Merane,Chlef,2
Breira,Beni Haoua,Chlef,2
Ouled Abbes,Oued Fodda,Chlef,2
Oued Fodda,Oued Fodda,Chlef,2
Beni Rached,Oued Fodda,Chlef,2
Herenfa,Ain Merane,Chlef,2
Tadjena,Abou El Hassane,Chlef,2
El Marsa,El Marsa,Chlef,2
Chlef,Chlef,Chlef,2
Oum Drou,Chlef,Chlef,2
Sendjas,Chlef,Chlef,2
Sidi Abderrahmane,Tenes,Chlef,2
Sidi Akkacha,Tenes,Chlef,2
Tenes,Tenes,Chlef,2
Beni Bouattab,El Karimia,Chlef,2
El Karimia,El Karimia,Chlef,2
Harchoun,El Karimia,Chlef,2
Bouzeghaia,Zeboudja,Chlef,2
Taougrit,Taougrit,Chlef,2
Beni Haoua,Beni Haoua,Chlef,2
Abou El Hassane,Abou El Hassane,Chlef,2
Oued Goussine,Beni Haoua,Chlef,2
Chettia,Ouled Fares,Chlef,2
Moussadek,El Marsa,Chlef,2
Ouled Fares,Ouled Fares,Chlef,2
Boukadir,Boukadir,Chlef,2
Oued Sly,Boukadir,Chlef,2
Sobha,Boukadir,Chlef,2
Benairia,Zeboudja,Chlef,2
Labiod Medjadja,Ouled Fares,Chlef,2
Dahra,Taougrit,Chlef,2
El Beidha,Gueltat Sidi Saad,Laghouat,3
Gueltat Sidi Saad,Gueltat Sidi Saad,Laghouat,3
Brida,Brida,Laghouat,3
Ain Sidi Ali,Gueltat Sidi Saad,Laghouat,3
Tadjemout,Ain Madhi,Laghouat,3
Hadj Mechri,Brida,Laghouat,3
Taouiala,Brida,Laghouat,3
El Ghicha,El Ghicha,Laghouat,3
Tadjrouna,Ain Madhi,Laghouat,3
Sebgag,Aflou,Laghouat,3
Sidi Bouzid,Aflou,Laghouat,3
Oued Morra,Oued Morra,Laghouat,3
Laghouat,Laghouat,Laghouat,3
Oued M'zi,Oued Morra,Laghouat,3
Ksar El Hirane,Ksar El Hirane,Laghouat,3
El Assafia,Sidi Makhlouf,Laghouat,3
Sidi Makhlouf,Sidi Makhlouf,Laghouat,3
Hassi Delaa,Hassi R'mel,Laghouat,3
Hassi R'mel,Hassi R'mel,Laghouat,3
Ain Madhi,Ain Madhi,Laghouat,3
